EOC 2009 Company Information			
Employer Name	Booth(s)	Position Type	Hires Non-US Citizens
Adobe Systems	103	Internship	Yes
Aerotech	17	"Full-time, Internship and Co-op"	No
Akamai Technologies	105	Internship	Yes
Amazon.com	59	Full-time and Internship	Yes
American Eagle Outfitters	24	Internship	No
AOL	85	Full-time and Internship	No
Apple	220	Full-time and Internship	Yes
Areté	54	Full-time	Yes
Argon ST	212	"Full-time, Internship and Co-op"	No
ARM	107	Full-time and Internship	No
ATK	63	Full-time and Internship	No
Babcock Power	2	Internship	Yes
Bechtel Plant Machinery	7	Full-time	No
"Becton, Dickinson & Company"	52	Internship	No
Bettis Laboratory	51	Full-time	No
Blackbaud	219	Full-time	No
Blizzard Entertainment	264	Full-time and Internship	Yes
Bloomberg	6	Full-time and Internship	Yes
Capital IQ	104	Full-time and Internship	Yes
Capital One	"78, 79"	Full-time and Internship	No
Carpenter Technology	253	Full-time and Internship and Co-op	No
Cisco Systems	45	Internship	Yes
Civil & Environmental Consultants	8	Full-time and Internship	Yes
Clarabridge	26	Full-time and Internship	No
Claraview	25	Full-time and Internship	No
Compunetix	65	Full-time and Internship	No
Consolidated Graphics	249	Full-time	No
Cray Inc.	254	Full-time and Internship	No
Deloitte	211	Internship	Yes
Department of Homeland Security	77	Full-time	No
Epic	10	Full-time	No
EWT Trading	100	Full-time	Yes
Factset Research Systems	84	Full-time	No
First Commonwealth Financial 	64	Full-time	No
Foreman Architects & Engineers	201	Internship	Yes
Freddie Mac	95	Full-time and Internship	No
General Dynamics C4 Systems	53	Full-time and Internship	No
General Dynamics Electric Boat	62	Internship and Co-op	No
"Giant Eagle, Inc."	86	Internship	Yes
Gilder Gagnon Howe & Co.	203	Full-time and Internship	Yes
GA & CKO	38	Full-time and Internship	No
Grant Street Group	19	Full-time and Internship	No
Harris Corporation	60	Full-time and Internship	No
High Performance Technologies	21	Full-time and Internship	No
Hudson River Trading	3	Full-time	No
IBM 	"93, 94"	"Full-time, Internship and Co-op"	No
IMC Chicago	222	Full-time and Internship	No
Increo Solutions	242	Full-time and Internship	Yes
Intel Corporation	200	Internship	Yes
"ITA Software, Inc"	108	Internship and Co-op	Yes
ITG 	44	Internship	Yes
Jane Street Capital	9	Full-time and Internship	Yes
Kurt J. Lesker Company	56	"Full-time, Internship and Co-op"	No
Employer Name	Booth(s)	Position Type	Hires Non-US Citizens
Laserfiche	102	Full-time and Internship	Yes
Latrobe Specialty Steel	87	Full-time	No
Lockheed Martin	"57, 58"	Full-time and Internship	No
Management Science Associates	92	Full-time and Internship	No
Manganaro Midatlantic	89	Full-time	No
ManTech International	80	Full-time and Internship	No
McKesson Technology Solutions	28	Full-time and Internship	No
Michael Baker Engineering	68	Full-time	Yes
Microsoft	46	Full-time and Internship	Yes
MIT Lincoln Laboratory	82	Full-time and Internship	No
ModCloth	33	Internship	Yes
Morgan Stanley	"66, 67"	Internship	Yes
Mozilla 	74	"Full-time, Internship and Co-op"	Yes
National Security Agency	11	Full-time and Co-op	No
Nationwide	16	Internship	No
Navteq	101	"Full-time, Internship and Co-op"	No
NetApp	27	Full-time and Internship	Yes
Next Jump	231	"Full-time, Internship and Co-op"	Yes
Northrop Grumman	18	Full-time and Internship	No
NVIDIA	"42, 43"	"Full-time, Internship and Co-op"	Yes
Omnyx	37	Full-time and Internship	Yes
Optiver Derivatives Trading USA	71	Full-time	No
Oracle	106	Full-time and Internship	Yes
Palantir Technologies	70	Internship	No
Peace Corps	230	Full-time	No
Philips Respironics	83	"Full-time, Internship and Co-op"	Yes
Pittsburgh Pattern Recognition	210	Internship  	No
Qualcomm	"29, 30"	"Full-time, Internship and Co-op"	Yes
Raytheon	97	Full-time	No
Rensselaer Polytechnic Institute	208	Full-time	Yes
Riverbed Technology	13	Full-time and Internship	No
Robert Bosch	20	Full-time	Yes
Rosetta	36	"Full-time, Internship and Co-op"	No
Rosetta Stone	40	Full-time and Internship	No
Salesforce.com	"31, 32"	Full-time and Internship	Yes
Schlumberger Technology Corp	4	Full-time and Internship	No
SET Corporation	76	Internship	No
Sony Computer Entertainment	75	Internship	No
SRA International	88	Full-time and Internship	No
St. Johns University	218	Full-time	No
Sun Microsystems	47	Full-time and Internship	No
Susquehanna International Group (SIG)	55	Internship	Yes
TerraSim	39	Full-time and Internship	No
The Bank of NY Mellon	209	Internship	Yes
The MITRE Corporation	69	"Full-time, Internship and Co-op"	No
The Technology Collaborative	263	Full-time and Internship	Yes
T-Mobile	50	Internship	No
TradingScreen	12	Full-time and Internship	Yes
Travelers	202	Internship	No
U.S. Marine Corps Officer Programs	267	Full-time and Internship	No
UBS	98	Internship	Yes
US Army Aberdeen Test Center	"14, 15"	Full-time and Internship	No
US Patent & Trademark Office	61	Full-time	No
Vanguard	99	Full-time and Internship	No
Employer Name	Booth(s)	Position Type	Hires Non-US Citizens
Verizon	48	Full-time and Internship	No
VistaPrint	91	Full-time and Internship	Yes
VMware	"232, 233"	Full-time and Internship	Yes
Waddell & Reed	204	Full-time and Internship	No
Wesco Distribution	207	Full-time and Internship	No
Yahoo!	90	Internship	Yes
